Record_ID	species	tax_class	superorder	tax_order	family	genus	timestamp
1	Guentherus_altivela	Actinopteri	Ateleopodia	Ateleopodiformes	Ateleopodidae	Guentherus	2023-09-19 12:46:00
2	Oryzias_latipes	Actinopteri	Atherinomorphae	Beloniformes	Adrianichthyidae	Oryzias	2023-09-19 12:46:00
3	Oryzias_melastigma	Actinopteri	Atherinomorphae	Beloniformes	Adrianichthyidae	Oryzias	2023-09-19 12:46:00
4	Cyprinodon_nevadensis_pectoralis	Actinopteri	Atherinomorphae	Cyprinodontiformes	Cyprinodontidae	Cyprinodon	2023-09-19 12:46:00
5	Cyprinodon_variegatus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Cyprinodontidae	Cyprinodon	2023-09-19 12:46:00
6	Fundulus_heteroclitus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Fundulidae	Fundulus	2023-09-19 12:46:00
7	Nothobranchius_furzeri	Actinopteri	Atherinomorphae	Cyprinodontiformes	Nothobranchiidae	Nothobranchius	2023-09-19 12:46:00
8	Gambusia_affinis	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Gambusia	2023-09-19 12:46:00
9	Poecilia_formosa	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Poecilia	2023-09-19 12:46:00
10	Poecilia_latipinna	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Poecilia	2023-09-19 12:46:00
11	Poecilia_mexicana	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Poecilia	2023-09-19 12:46:00
12	Poecilia_reticulata	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Poecilia	2023-09-19 12:46:00
13	Xiphophorus_maculatus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Xiphophorus	2023-09-19 12:46:00
14	Xiphophorus_couchianus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Xiphophorus	2023-09-19 12:46:00
15	Xiphophorus_hellerii	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Xiphophorus	2023-09-19 12:46:00
16	Austrofundulus_limnaeus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Rivulidae	Austrofundulus	2023-09-19 12:46:00
17	Kryptolebias_marmoratus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Rivulidae	Kryptolebias	2023-09-19 12:46:00
18	Astyanax_mexicanus	Actinopteri	Characiphysae	Characiformes	Characidae	Astyanax	2023-09-19 12:46:00
19	Pygocentrus_nattereri	Actinopteri	Characiphysae	Characiformes	Serrasalmidae	Pygocentrus	2023-09-19 12:46:00
20	Ageneiosus_inermis	Actinopteri	Characiphysae	Siluriformes	Auchenipteridae	Ageneiosus	2023-09-19 12:46:00
21	Tachysurus_fulvidraco	Actinopteri	Characiphysae	Siluriformes	Bagridae	Tachysurus	2023-09-19 12:46:00
22	Clarias_batrachus	Actinopteri	Characiphysae	Siluriformes	Clariidae	Clarias	2023-09-19 12:46:00
23	Ictalurus_punctatus	Actinopteri	Characiphysae	Siluriformes	Ictaluridae	Ictalurus	2023-09-19 12:46:00
24	Pangasianodon_hypophthalmus	Actinopteri	Characiphysae	Siluriformes	Pangasiidae	Pangasianodon	2023-09-19 12:46:00
25	Amphilophus_citrinellus	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Amphilophus	2023-09-19 12:46:00
26	Astatotilapia_calliptera	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Astatotilapia	2023-09-19 12:46:00
27	Haplochromis_burtoni	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Haplochromis	2023-09-19 12:46:00
28	Labeotropheus_fuelleborni	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Labeotropheus	2023-09-19 12:46:00
